tahun,merk,tipe,tipe_truncated,jenis_mobil,is_convertible,is_coupe,is_fastback,is_hatchback,is_mpv,is_pickup,is_suv,is_sedan,is_truck,is_van,is_wagon,transmisi,km,lokasi,penjual,harga_asli,harga_imputed,imputation_source,harga
2020,MINI,Cooper,False,Hatchback,0,0,0,1,0,0,0,0,0,0,0,Automatic,42500.0,DKI Jakarta,Dealer,395000000.0,False,,395000000.0
2019,Toyota,Vellfire,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,112500.0,DKI Jakarta,Dealer,499000000.0,False,,499000000.0
2017,Lexus,RX 200t F Sport,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,47500.0,DKI Jakarta,Dealer,625000000.0,False,,625000000.0
2024,Suzuki,Jimny,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,7500.0,Jawa Timur,Dealer,519000000.0,False,,519000000.0
2025,Lexus,LM 350h 7 Seater,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,12500.0,DKI Jakarta,Dealer,1951999000.0,False,,1951999000.0
2019,Mitsubishi,Pajero Sport,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,42500.0,DKI Jakarta,Dealer,339999000.0,False,,339999000.0
2024,Toyota,Hiace,False,Van,0,0,0,0,0,0,0,0,0,1,0,Manual,2500.0,Jawa Timur,Dealer,504000000.0,False,,504000000.0
2025,Jetour,X70 Plus Journey,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,7500.0,DKI Jakarta,Dealer,293999000.0,False,,293999000.0
2020,Honda,Jazz,False,Hatchback,0,0,0,1,0,0,0,0,0,0,0,Automatic,42500.0,DKI Jakarta,Dealer,216999000.0,False,,216999000.0
2024,Honda,HR-V,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,27500.0,DKI Jakarta,Dealer,316999000.0,False,,316999000.0
2018,Suzuki,Ertiga,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,77500.0,Jawa Barat,Sales Agent,175000000.0,False,,175000000.0
