"listing__rating-model","item","item 2","item 3","item 4","ellipsize","listing__excerpt","listing__price"
"Suzuki Ertiga","70 - 75K KM","Automatic","DKI Jakarta","Sales Agent","2020 Suzuki Ertiga 1.5 GX MPV - CASH CREDIT - GARANSI MESI...","- Suzuki Ertiga GX 1.5 - Warna Silver - Tahun 2020 - Transmisi Matic - Kilometer 73.250 ...","Rp 186.000.000"
"Toyota Kijang Innova","75 - 80K KM","Automatic","DKI Jakarta","Dealer","2018 Toyota Kijang Innova 2.0 V MPV - Bensin AT Matic Silv...","Toyota Kijang Innova 2.0V 2.0 V Bensin AT Matic 2018 Silver Metalik. FULL RECORD!!! * ...",""
"Honda CR-V","70 - 75K KM","Automatic","DKI Jakarta","Dealer","2013 Honda CR-V 2.4 SUV - AT Low KM 70rban Istimewa","Yang Anda dapatkan jika membeli di BJM Autocars : * Hanya menjual Mobil Bekas Berkualitas ...","Rp 153.000.000"
"Suzuki XL7","80 - 85K KM","Automatic","DKI Jakarta","Sales Agent","2022 Suzuki XL7 1.5 Alpha SUV - CASH CREDIT - BEBAS LAKA B...","- Suzuki XL7 Alpha 1.5 Limited edition - Warna Putih - Tahun 2022 - Transmisi Matic - ...","Rp 219.000.000"
"Toyota Rush","55 - 60K KM","Automatic","Jawa Timur","Dealer","2020 Toyota Rush 1.5 TRD Sportivo SUV","DI JUAL : TOYOTA RUSH S TRD ATutomatic 1.5 cc TH 2020 Kilometer 60ribu Body mulus Mesin ...","Rp 205.000.000"
"Toyota Kijang Innova","80 - 85K KM","Automatic","Banten","Dealer","2022 Toyota Kijang Innova 2.4 Venturer MPV - terawat bebas...","Venturer Diesel 2.4 AT 2022 Hitam * KM 85.XXX * Pajak 1-2027 * Kaleng 1-2027 * Plat B ...",""
"Honda Civic","95 - 100K KM","Automatic","Jawa Timur","Dealer","2019 Honda Civic 1.5 E Hatchback","Kondisi sangat terawat Mobil siap pakai Bukan bekas tabrak atau banjir Servis teratur ...","Rp 308.000.000"
"","55 - 60K KM","Automatic","DKI Jakarta","Dealer","2022 Hyundai Creta 1.5 Prime SUV - SUNROOF","2022 Hyundai Creta 1.5 Prime A/T *OTR Kredit 241 juta* *Harga cash silakan chat* *Nominal ...",""
"Land Rover Range Rover","5 - 10K KM","Automatic","DKI Jakarta","Dealer","2023 Land Rover Range Rover 3.0 Vogue PHEV P440e LWB SUV  ...","*Range Rover Vogue LWB* Year : 2023 Exterior : Santorini Black Interior : Ebony Leather ...","Rp 4.950.000.000"
"Toyota Camry","140 - 145K KM","Automatic","DKI Jakarta","Dealer","2015 Toyota Camry 2.5 V Sedan","Toyota Camry V 2.5 AT 2.5 cc NIK 2015 Black on black Automatic Transmission Km 142.xxx ...",""
"Toyota Avanza","25 - 30K KM","Automatic","Jawa Timur","Dealer","2024 Toyota Avanza 1.5 G MPV","DIJUAL TOYOTA ALL NEW AVANZA 1.5 G MATIC 2024 KM 28 RB WARNA PUTIH *warna favorite ...","Rp 225.000.000"
"Toyota Alphard","40 - 45K KM","Automatic","DKI Jakarta","Dealer","2021 Toyota Alphard 2.5 G MPV","• KM 43.72x • Pajak Oktober 2026 • Plat B (GANJIL) Leather seats Electric + memory seat ...","Rp 730.000.000"
"Mazda CX-5","20 - 25K KM","Automatic","DKI Jakarta","Dealer","2023 Mazda CX-5 2.5 Kuro Edition SUV","Lokasi mangga dua Harga tertera harga kredit Harga cash beda , tlp / wa For sale: Mazda ...","Rp 435.000.000"
"Toyota Fortuner","45 - 50K KM","Automatic","Jawa Timur","Dealer","2021 Toyota Fortuner 2.4 VRZ GR SPORT 4X2 SUV - (47 rb KM)...","Toyota Fortuner 2.4 GR Sport Diesel Matic 2021 White On Black Odometer 47 ribu (KM) ...","Rp 455.000.000"
"Daihatsu Terios","45 - 50K KM","Automatic","DKI Jakarta","Dealer","2016 Daihatsu Terios 1.5 R Adventure SUV","Lokasi Bursa Otomotif Poin Pik 2 Harga tertera harga kredit Harga cash tlp / wa For sale: ...","Rp 155.000.000"
"","5 - 10K KM","Automatic","DKI Jakarta","Dealer","2025 BYD Atto 1 Long Range Premium Hatchback - 0.0","Harga tertera harga kredit Harga cash beda tlp / wa For sale: Byd atto 1 premium ev Tahun ...","Rp 210.000.000"
"MINI Cooper","40 - 45K KM","Automatic","DKI Jakarta","Dealer","2020 MINI Cooper 1.5 5 Door Hatchback","MINI COOPER 5d 1.5L Facelift Moonwalk Grey on Black NIK 2020 Km 46 000 Tax 09 2026 CASH : ...","Rp 395.000.000"
"Toyota Vellfire","110 - 115K KM","Automatic","DKI Jakarta","Dealer","2019 Toyota Vellfire 2.5 G MPV","VELLFIRE 2.5 G ATPM 2019 • KM 113.27x • Pajak Desember • Plat B (GANJIL) Leather seats ...","Rp 499.000.000"
"","45 - 50K KM","Automatic","DKI Jakarta","Dealer","2017 Lexus RX 200t 2.0 F Sport SUV","Lexus RX200t SPORT White on Chili Red Tahun 2017 Km 50 000 Record Lexus Stnk 07 2027 VERY ...","Rp 625.000.000"
"Suzuki Jimny","5 - 10K KM","Automatic","Jawa Timur","Dealer","2024 Suzuki Jimny 1.5 5 Door (1 Tone) SUV - (Odo 8 ribu) F...","Suzuki Jimny All Grip 1.5 A/T (Single Tone) Nik 2024, Pmk 2025 Grey On Black Odometer 8 ...","Rp 519.000.000"
"","10 - 15K KM","Automatic","DKI Jakarta","Dealer","2025 Lexus LM 350h 2.5 7 Seater MPV","Harga Untuk Kredit Harga Tunai Beda Lagi ( Tdp lebih dari 30% otr kredit beda lagi ) ...","Rp 1.951.999.000"
"Mitsubishi Pajero Sport","40 - 45K KM","Automatic","DKI Jakarta","Dealer","2019 Mitsubishi Pajero Sport 2.4 Dakar 4X2 SUV","Harga Untuk Kredit Harga Tunai Beda Lagi ( Tdp lebih dari 30% otr kredit beda lagi ) ...","Rp 339.999.000"
"Toyota Hiace","0 - 5K KM","Manual","Jawa Timur","Dealer","2024 Toyota Hiace 3.0 Commuter Van - (Odo 160 perak)","Toyota Hiace 3.0 Commuter M/T 2024 White On Black Odometer 160 perak (KM) Seperti Baru ...","Rp 504.000.000"
"","5 - 10K KM","Automatic","DKI Jakarta","Dealer","2025 Jetour X70 Plus 1.6 Journey SUV","Harga Untuk Kredit Harga Tunai Beda Lagi ( Tdp lebih dari 30% otr kredit beda lagi ) ...","Rp 293.999.000"
"Honda Jazz","40 - 45K KM","Automatic","DKI Jakarta","Dealer","2020 Honda Jazz 1.5 RS Hatchback","Harga Untuk Kredit Harga Tunai Beda Lagi ( Tdp lebih dari 30% otr kredit beda lagi ) ...","Rp 216.999.000"
"Honda HR-V","25 - 30K KM","Automatic","DKI Jakarta","Dealer","2024 Honda HR-V 1.5 Special Edition SUV","Harga Untuk Kredit Harga Tunai Beda Lagi ( Tdp lebih dari 30% otr kredit beda lagi) HONDA ...","Rp 316.999.000"
"","","","","","","",""
"","","","","","","",""
"Suzuki Ertiga","75 - 80K KM","Automatic","Jawa Barat","Sales Agent","2018 Suzuki Ertiga 1.5 GX MPV","Masookk lagi Suzuki ertiga Gx 1.5 2018😍 Cepetan bungkus boskuh ✅Automatic ✅perorangan ✅Km ...","Rp 175.000.000"
"","10 - 15K KM","Automatic","DKI Jakarta","Dealer","2023 Mercedes-Benz AMG A35 2.0 4MATIC Sedan","Harga Untuk Kredit Harga Tunai Beda Lagi ( Tdp lebih dari 30% otr kredit beda lagi ) ...","Rp 696.999.000"
"Honda City","80 - 85K KM","Automatic","Banten","Sales Agent","2022 Honda City 1.5 RS Honda Sensing Hatchback - RS Sensin...","𝙹𝚊𝚖𝚒𝚗𝚊𝚗 𝙼𝚘𝚋𝚒𝚕 𝙱𝚎𝚔𝚊𝚜 𝙱𝚎𝚛𝚔𝚞𝚊𝚕𝚒𝚝𝚊𝚜 𝗖𝗲𝗸 𝘂𝗻𝗶𝘁 𝗱𝗮𝗵𝘂𝗹𝘂, 𝘁𝗶𝗱𝗮𝗸 𝗽𝗲𝗿𝗹𝘂 𝗯𝗮𝘆𝗮𝗿 𝗮𝗽𝗮-𝗮𝗽𝗮‼️ Honda city ...","Rp 232.000.000"
"Suzuki XL7","10 - 15K KM","Manual","DKI Jakarta","Sales Agent","2024 Suzuki XL7 1.5 Zeta SUV","Suzuki xl-7 alpha 2021 Harga OTR Cash Rp. 215.000.000(NEGO) Harga OTR Kredit Rp ...","Rp 206.000.000"
"Toyota Voxy","65 - 70K KM","Automatic","Jawa Barat","Sales Agent","2022 Toyota Voxy 2.0 MPV","Masookk lagi toyota voxy 2.0 at 2022😍 Cepetan bungkus boskuh ✅Automatic ✅perorangan ✅Km ...","Rp 370.000.000"
"Daihatsu Sigra","20 - 25K KM","Manual","Jawa Barat","Sales Agent","2024 Daihatsu Sigra 1.0 D MPV","Masookk lagi daihatsu sigra D 2024 Cepetan bungkus boskuh ✅manual ✅perorangan ✅Km 22.970 ...","Rp 117.000.000"
"Suzuki Ertiga","110 - 115K KM","Manual","Jawa Barat","Sales Agent","2017 Suzuki Ertiga 1.4 GL MPV","Masookk lagi Suzuki ertiga GL 1.4 2017😍 Cepetan bungkus boskuh ✅manual ✅perorangan ✅Km ...","Rp 131.000.000"
